spell,imi,pertid,count
"string","ひも、結びひも、弦、ひと続き、一列、連続、繊維、付帯条件、段階、組、同系列の人、側桁、文字列","1","1"
"stringent","厳しい、切迫した","4","1"
"structured","はっきりした形のある","4","1"
"study","勉強、研究、研究対象、具体例、書斎、研究室、習作、練習曲","1","1"
"subject","題目、学科、被験者、主語、国民、主辞、主観","1","1"
"subsequent","後の","4","1"
"substitute","代用品、代用語","1","2"
"substitute","代わりに用いる","2","1"
"suffer","経験する、苦しむ、（病気に）かかる","2","1"
"sufficient","十分な","4","1"
"sufficiently","十分に","8","1"
"suffix","接尾辞、添字、副指数","1","1"
"switch","変える、交換する、交替する、スイッチを切り替える、振り回す","2","1"
"synchrony","同時発生、同時性","1","2"
"system","制度、組織、体系、体系的方式、方式、体、システム","1","1"
"tear","涙、裂け目","1","1"
"tell","話す、伝える、教える、～しなさいという、知る、見分ける、数える、口外する、わかる、言いつける、堪える","2","1"
"tempt","誘惑する、引き付ける、そそる、したくなる","2","1"
"tend","傾向がある、よく～する、向かう、手入れをする、見張る、注意する","2","1"
"term","専門用語、期間、学期、言葉遣い、開廷期間、会期、条件、項、限界点、名辞","1","1"
"test","試験する、検査する、分析する、調べる","2","1"
"theoretical","理論的な、仮説的な","4","1"
"thereby","それによって、それに関して、その辺に","8","1"
"therefore","それゆえに、したがって","8","2"
"therein","その中に、そこに、それに関して","8","1"
"though","けれども、たとえ～にしても、もっとも～だが","6","3"
"though","でも、本当に","8","3"
"through","通り抜けて、～のいたるところを、～の間じゅう、AからBの終わりまで、～の初めから終わりまで、～のために、~を通じて","3","13"
"through","通り抜けて、初めから終わりまで、終えて、まったく","8","12"
"thus","このように、そのように、したがって、この程度まで、例えば","8","1"
"timeline","年表、予定表、時刻表","1","2"
"transformation","変化、変態、形質転換、悪性転換、変換、転移、変形","1","1"
"transmit","送る、伝染される、伝える、透過させる","2","1"
"transparent","透明な、明白な、わかりやすい、率直な","4","1"
"treat","扱う、みなす、論ずる、治療する、処理する、おごる、交渉する","2","1"
"trigger","引く、発射する、駆動させる、誘発する","2","1"
"trivially","つまらない取るに足らないさまの、ほとんど努力せずに","8","2"
"truly","実に、とても、本当に、心から、実を言えば","8","3"
"type","型、典型、活字、種類、基準、菌型、血液型、特徴、しるし、類型","1","2"
"type","キーボードで打つ、型を決める","2","1"
"ultimate","究極点、最高のもの","1","1"
"ultimate","究極の、最終の、最高の、根本の","4","1"
"unanticipated","予期していない、不意の、思いがけない","4","2"
"unavoidable","避けられない、不可避の","4","1"
"unchanged","変化していない、もとのまま","4","1"
"unfortunate","不運な、不適当な","4","1"
"unfortunately","不運にも、不適切に","8","1"
"uniformly","一様に、均等に、一律に","8","1"
"uninitialized","初期化されていない","4","1"
"uniquely","比類なく、独特に","8","1"
"unit","部署、装置、単位、1つの物、アルコール単位","1","2"
"unity","単一、統一性、まとまる、一貫性、調和、単位元","1","1"
"unless","～でない限り、もっとも～でなければの話だが、もし～でなければ","6","2"
"unlike","～と違って、～らしくない","3","5"
"unlike","似ていない","4","5"
"unlike","違って","6","5"
"until","まで、","3","3"
"until","するまで","6","3"
"unusable","使用に適さない","4","1"
"useful","有用な、すごく立派な、とても効果的な","4","5"
"usual","いつもの","4","2"
"usually","ふつうは","8","2"
"vaild","有効な、妥当な","4","1"
"valid","有効な、妥当な、重要な","4","1"
"vanish","消える、見えなくなる、なくなる、ゼロになる","2","1"
"variable","変わるもの、変数、変風","1","1"
"variation","変化すること、変動、変化量、差異、変わり種、変異、特徴、偏差、二均差、変分","1","1"
"various","さまざまな、いろいろな、いくつかの、多様な","4","1"
"vary","異なる、変わる、変異する","2","2"
"vector","ベクトル、病原菌媒介生物、遺伝子運搬因子、ベクター、方向","1","1"
"velocity","速度","1","2"
"via","～経由で、～を通って、～回りで、～によって、～の媒介で","3","1"
"violate","違反する、乱す、汚す、暴行する","2","1"
"virtue","美徳、長所、力天使","1","1"
"visualization","はっきり思い浮かべること、可視化","1","1"
"visually","外見は、視覚的に","8","1"
"wait","待つ、延期される、用意されている、給仕する","2","1"
"whatever","何でも、どんなことが~とも、何であろうとも、いったい何が、何かそのようなもの","5","2"
"whence","どこから、～する、～する場所へ、そのために","8","1"
"whenever","いったいいつ、いつでも","8","1"
"whether","～かどうか、AであろうとBであろうと、Aであろうとなかろうと","6","2"
"work","仕事、労働、職業、作品、工場、工事、効果、動く部品、業","1","2"
"work","勉強する、勤めている、機能する、うまくいく、徐々に動く、ひきつる、材料を使う、発行する、もたらす、耕す、担当する、次第に～になる、あれこれ考える、こねる","2","2"
"yield","産出する、生ずる、与える、認める、放棄する、屈する、曲がる、動く、取って代わる、譲る","2","1"
